concept,bet_old,bet_new,bet_change,deg_old,deg_new,old_provisions,new_provisions,status
reporting of vacancies,0.0,0.0,0.0,0.0,0.0097,0,1,absent
amalgamation,0.0,0.0,0.0,0.0,0.0028,0,1,absent
re-instatement,0.0,0.0,0.0,0.0093,0.0,1,0,absent
supervision,0.0,0.0,0.0,0.0,0.0097,0,1,absent
welfare and working conditions,0.0,0.0,0.0,0.0,0.0028,0,1,absent
recognition,0.0,0.0,0.0,0.0,0.0028,0,1,absent
minor,0.0,0.0,0.0,0.0,0.0042,0,1,absent
cost of construction,0.0,0.0,0.0,0.0,0.0083,0,1,absent
identity,0.0,0.0,0.0,0.0,0.0152,0,1,absent
prescribed conditions,0.0,0.0,0.0,0.0,0.0152,0,1,absent
government_order,0.0,0.0,0.0,0.0062,0.0,1,0,absent
levy of damages,0.0,0.0,0.0,0.0,0.0042,0,1,absent
nuclear fuel,0.0,0.0,0.0,0.0216,0.0,1,0,absent
accidents,0.0,0.0,0.0,0.0,0.0111,0,2,absent
sale of property,0.0,0.0,0.0,0.0,0.018,0,1,absent
recovery of amount due,0.0,0.0,0.0,0.0,0.018,0,1,absent
floor wage,0.0,0.0,0.0,0.0,0.0028,0,1,absent
judicial authority,0.0,0.0,0.0,0.0093,0.0,1,0,absent
aggregators,0.0,0.0,0.0,0.0,0.0139,0,1,absent
mineral oil,0.0,0.0,0.0,0.0216,0.0,1,0,absent
losses,0.0,0.0,0.0,0.0,0.0,0,1,absent
life insurance,0.0,0.0,0.0,0.0,0.0028,0,1,absent
arbitration proceedings,0.0,0.0,0.0,0.0,0.0097,0,1,absent
social security benefits,0.0,0.0,0.0,0.0,0.0042,0,1,absent
income-tax,0.0,0.0,0.0,0.0,0.0042,0,1,absent
witnesses,0.0,0.0,0.0,0.0,0.0097,0,1,absent
alumina,0.0,0.0,0.0,0.0216,0.0,1,0,absent
production,0.0,0.0,0.0,0.0216,0.0,1,0,absent
quorum,0.0,0.0,0.0,0.0123,0.0,1,0,absent
execution of act,0.0,0.0,0.0,0.0031,0.0,1,0,absent
agriculture,0.0,0.0,0.0,0.0309,0.0152,1,1,absent
building workers,0.0,0.0,0.0,0.0,0.0083,0,1,absent
advisory board,0.0001,0.0001,0.0,0.0062,0.0097,1,1,stable
business conduct,0.0,0.0,0.0,0.0123,0.0,1,0,absent
auditor,0.0,0.0,0.0,0.0,0.0069,0,1,absent
payment of premia,0.0,0.0,0.0,0.0,0.0028,0,1,absent
privileges,0.0,0.0,0.0,0.0,0.0097,0,1,absent
absorption,0.0,0.0,0.0,0.0,0.0152,0,1,absent
employee benefit,0.0,0.0,0.0,0.0,0.0069,0,1,absent
cultivation,0.0,0.0,0.0,0.0309,0.0,1,0,absent
receiver,0.0,0.0,0.0,0.0,0.018,0,1,absent
decree,0.0,0.0,0.0,0.0247,0.0097,1,1,absent
classification of workers,0.0,0.0,0.0,0.0,0.0083,0,1,absent
superannuation,0.0,0.0,0.0,0.0,0.0125,0,1,absent
creditors,0.0,0.0,0.0,0.0,0.0097,0,1,absent
demonstrations,0.0,0.0,0.0,0.0031,0.0,1,0,absent
public distribution system,0.0,0.0,0.0,0.0,0.0069,0,1,absent
hardship to employer,0.0,0.0,0.0,0.0123,0.0,1,0,absent
aadhaar,0.0,0.0,0.0,0.0,0.0152,0,1,absent
unorganised worker,0.0,0.0,0.0,0.0,0.0152,0,1,absent
manner of service,0.0,0.0,0.0,0.0,0.0028,0,1,absent
fatal accidents,0.0,0.0,0.0,0.0,0.0055,0,1,absent
crèche,0.0,0.0,0.0,0.0,0.0139,0,1,absent
directions,0.0,0.0,0.0,0.0062,0.0069,2,2,absent
question of law,0.0,0.0,0.0,0.0,0.0028,0,1,absent
material fact,0.0,0.0,0.0,0.0,0.0152,0,1,absent
delay in payment,0.0,0.0,0.0,0.0,0.0028,0,1,absent
communication,0.0,0.0,0.0,0.0,0.0042,0,1,absent
goods and services provider platform,0.0,0.0,0.0,0.0,0.0,0,1,absent
civil court,0.0,0.0,0.0,0.0,0.0028,0,1,absent
compounding of offences,0.0,0.0,0.0,0.0,0.0055,0,1,absent
tax,0.0,0.0,0.0,0.0,0.0069,0,1,absent
code,0.0,0.0,0.0,0.0,0.0028,0,1,absent
metropolitan magistrate,0.0,0.0,0.0,0.0,0.0069,0,1,absent
local committees,0.0,0.0,0.0,0.0,0.0055,0,1,absent
government establishments,0.0,0.0,0.0,0.0,0.0014,0,1,absent
toll free helpline,0.0,0.0,0.0,0.0,0.0069,0,1,absent
helpline,0.0,0.0,0.0,0.0,0.0055,0,1,absent
limitation,0.0,0.0,0.0,0.0,0.0166,0,1,absent
insured persons,0.0,0.0,0.0,0.0,0.0055,0,1,absent
attendance,0.0,0.0,0.0,0.0,0.0097,0,2,absent
restarting of undertakings,0.0,0.0,0.0,0.0123,0.0,1,0,absent
oral evidence,0.0,0.0,0.0,0.0,0.0014,0,1,absent
assignee,0.0,0.0,0.0,0.0,0.0069,0,1,absent
payment of benefit,0.0,0.0,0.0,0.0,0.0069,0,1,absent
funeral assistance,0.0,0.0,0.0,0.0,0.0166,0,1,absent
